name	length	score	pvalue
S2C10687	2105	0.029876607083692	0.776896400526169
S2C10888	2631	0.452758044659053	0.178777853071312
S2C11038	19006	0.986946668968525	0.00278923114237206
S2C11202	2246	0.588766000730374	0.116394945589349
S2C11397	4163	0.408048418253535	0.117026437060393
S2C11479	2416	0.46924108280667	0.169928648303902
S2C11523	3863	0.899994249678266	0.0130972592772253
S2C11560	2266	0.971840307300688	0.00243153824690079
S2C11711	3633	0.94087112846241	0.00848896434634975
S2C11862	3976	0.99927396077277	0.000121270919233568
S2C12210	3176	0.133747258053115	0.286320640310454
S2C12409	3648	0.532378018520626	0.080523890371089
S2C12743	2662	0.924507791918532	0.0110814366006298
S2C12950	3212	0.251423587625148	0.189061363085132
S2C13087	3049	0.994931934846151	0.00133398011156925
S2C13193	5148	0.994556078499186	0.00133398011156925
S2C13331	2070	0.169061920059113	0.422808625981584
S2C13335	4544	0.98241756440339	0.0033955857385399
S2C13350	2304	0.839019940687663	0.0332443098018894
S2C13396	11073	0.971788124990393	0.00472956585010914
S2C13501	3092	0.997261759449504	0.000606354596167839
S2C13566	6037	0.979858206065631	0.00363812757700703
S2C13753	24443	0.969528324019461	0.00521464952704342
S2C13882	6283	0.783877466023579	0.0308028134853262
S2C13887	3133	0.652682398035177	0.0554208100897405
S2C14174	2695	0.76568186633712	0.0539721768246502
S2C14192	10071	0.00873627417202498	0.745331069609508
S2C14385	9563	0.982558845521772	0.0033955857385399
S2C14405	4184	0.881291611796385	0.0162503031772981
S2C14434	2890	0.954355677524036	0.00530155060389843
S2C14615	2097	0.409281754679378	0.202415593733806
S2C14640	2016	0.996853577571233	7.97225654721569e-05
S2C14658	2585	0.977136228808712	0.00175389644038745
S2C14702	15752	0.974803057742355	0.00424448217317487
S2C14724	6305	0.978737212581698	0.0037593984962406
S2C14836	2200	0.176289319479445	0.412325108621995
S2C15273	169010	0.697164241091725	0.0464467620664565
S2C15292	2700	0.397683843183895	0.209829792322717
S2C15305	2089	0.943667356635399	0.00701558576154981
S2C15471	45150	0.994052742148942	0.00157652195003638
S2C15523	4176	0.871313397111166	0.0177055542081009
S2C15658	2507	0.96963707566713	0.0025909833778451
S2C15728	2143	0.909892366956049	0.0145493681986686
S2C15893	90915	0.534672613161958	0.0801600776133883
S2C15955	2945	0.270882654341323	0.30565631602025
S2C15982	2066	0.0300838947919292	0.77546139434767
S2C16255	74031	0.874092333460247	0.0173417414504002
S2C16390	2775	0.94966563094393	0.00601905369314785
S2C16430	2283	0.227170831528209	0.349105114202575
S2C16650	2959	0.13064439177161	0.481922908279188
S2C16889	2833	0.885885600876108	0.0201698090644557
S2C16944	3982	0.906846818677349	0.0127334465195246
S2C17058	2093	0.486437867468604	0.161876669191215
S2C17155	28819	0.98048416046173	0.00363812757700703
S2C17168	3369	0.942706591214763	0.00824642250788261
S2C17361	3642	0.532176004846319	0.0806451612903226
S2C17487	5676	0.998936551145662	0.000242541838467136
S2C17556	2817	0.955049731293709	0.00514210547295412
S2C17703	7687	0.996003021352344	0.00121270919233568
S2C17878	4927	0.379606336181585	0.126849381518312
S2C17910	2200	0.120858983666971	0.500857017578826
S2C17924	4530	0.887037012844903	0.0150375939849624
S2C17927	2526	0.860992947381313	0.0270259496950612
S2C18104	9026	0.409167697533285	0.116541353383459
S2C18116	2238	0.744999887664465	0.0610674851516722
S2C18196	2307	0.713441982451862	0.0708733607047475
S2C18271	19867	0.834165099927079	0.0237691001697793
S2C18463	4929	0.569749684654823	0.0722774678632064
S2C18515	6500	0.984929509479244	0.00315304390007276
S2C18591	97426	0.96005302659143	0.00642735871937909
S2C19088	5886	0.476124341211313	0.0942275042444822
S2C19294	30061	0.465674522071638	0.0982294445791899
S2C19343	3872	0.753071520807303	0.0362600048508368
S2C19352	2759	0.863958676330119	0.0260294176266592
S2C19521	9471	0.98186576230376	0.0033955857385399
S2C19536	2097	0.917635858447978	0.0130745007374337
S2C19802	2423	0.21597182008853	0.361023637740662
S2C19844	2237	0.785614345483073	0.0478335392832941
S2C20086	2445	0.851558337519851	0.0293777653764898
S2C20224	2776	0.866848698737633	0.0252321919719377
S2C20574	2300	0.0618678375356573	0.644556941842389
S2C20578	2001	0.78711300899372	0.0474747877386694
S2C20662	4076	0.984513242073797	0.00315304390007276
S2C20678	2789	0.0864536255971619	0.573603858572169
S2C20680	2184	0.728870855466119	0.0661697293418902
S2C20823	2763	0.893521720592943	0.0184956351895404
S2C20917	4517	0.883861990331753	0.0157652195003638
S2C20992	2238	0.824681468425113	0.0366325188344561
