name	len	score	pvalue
S2C222	2241	0.9999919533729553	0.0006231588488556538
S2C257	4396	0.9497863054275513	0.013633960268902486
S2C391	2144	0.0022493654396384954	0.4513558425862981
S2C685	6651	0.9998151063919067	0.0020016617569302815
S2C795	2804	0.5607407689094543	0.04675579726565451
S2C821	2350	0.023693129420280457	0.28344285822192006
S2C944	2165	0.20560817420482635	0.14508271017448449
S2C1023	2497	0.999948263168335	0.00117078329178941
S2C1137	2850	1.0	0.0
S2C1165	2666	0.9999986290931702	0.0004343228340509102
S2C1404	2537	0.9580894708633423	0.012595362187476396
S2C1612	2689	0.9999942779541016	0.0005665080444142307
S2C1651	6028	0.9999991655349731	0.00039655563108996147
S2C1688	2207	0.16324332356452942	0.15962308331444974
S2C1846	14709	0.9999987483024597	0.0004154392325704358
S2C1949	2155	0.45327016711235046	0.08265352368003626
S2C1963	2224	0.39599373936653137	0.0974960344436891
S2C2126	52877	0.9917500019073486	0.007043583352216934
S2C2325	3715	0.9999998211860657	0.00026437042072664096
S2C2441	8622	0.6765794157981873	0.03508573155072135
S2C3134	2011	0.688765287399292	0.03404713346929526
S2C3179	26289	0.9656170606613159	0.011518996903089357
S2C3414	2367	0.026953287422657013	0.27485081954830426
S2C3430	2066	0.7615067958831787	0.028570889039957702
S2C3576	2455	0.023794082924723625	0.2831784878011934
S2C3578	97412	0.9956360459327698	0.00585391645894705
S2C3585	13644	0.9944278001785278	0.006250472090037012
S2C3846	3774	0.9999993443489075	0.0003587884281290128
S2C3941	2059	0.4540761411190033	0.0824080368607901
S2C4042	38569	0.4848621189594269	0.07190875443764634
S2C4123	18316	1.0	0.0
S2C4193	10968	0.9999993443489075	0.0003587884281290128
S2C4211	6245	1.0	0.0
S2C4436	2071	0.01001623272895813	0.3439459173653599
S2C4541	2414	0.9966999292373657	0.005438477226376614
S2C4543	2387	0.9996064901351929	0.00264370420726641
S2C4917	2212	0.9998857975006104	0.0017561749376841151
S2C4966	3265	0.6286705732345581	0.03931565828234761
S2C4980	2695	0.9677600264549255	0.011254626482362716
S2C5035	2167	0.9999932050704956	0.0006042752473751794
S2C5080	4262	0.2512208819389343	0.13192083994259385
S2C5139	2288	0.2600241005420685	0.1296736913664174
S2C5351	3598	0.09809274971485138	0.19068660774983004
S2C5421	6204	0.701887309551239	0.032819699373064434
S2C5576	2383	0.9998753070831299	0.0017750585391645894
S2C5603	2833	0.9675307869911194	0.011254626482362716
S2C5690	2198	0.8651658296585083	0.020469824004834204
S2C5784	6709	0.999928891658783	0.0014351537125160511
S2C5828	3944	0.9400331974029541	0.014804743560691894
S2C5872	19150	0.9999992847442627	0.0003587884281290128
S2C5930	2730	0.9999995827674866	0.00028325402220711536
S2C6061	3507	0.6992799043655396	0.03310295339527155
S2C6728	2712	0.9999918341636658	0.0006231588488556538
S2C6767	2662	0.10277378559112549	0.18811843794848554
S2C7026	2297	0.9970448017120361	0.005249641211571871
S2C7041	4471	0.9999995231628418	0.0003021376236875897
S2C7586	2678	0.5479926466941833	0.04917289825515522
S2C7622	2623	1.0	0.0
S2C7976	2883	0.01721133105456829	0.3050834655185437
S2C8256	2007	0.014330300502479076	0.3178110129163834
S2C8388	2930	0.999998927116394	0.00039655563108996147
S2C8518	2259	0.985839307308197	0.008384319057330614
S2C8637	2034	0.44927144050598145	0.08367323815998187
S2C8753	2191	0.0018063508905470371	0.4667459777928847
S2C8765	2184	0.4531371593475342	0.08267240728151673
S2C9292	4252	0.9997169971466064	0.002284915779137397
S2C9541	2220	1.0	0.0
S2C9581	2692	0.9980689287185669	0.00455094795679432
S2C9834	9046	0.7012171149253845	0.032876350177505856
S2C9905	6542	1.0	0.0
S2C9906	3195	1.0	0.0
S2C10181	2024	0.30964425206184387	0.11685172596117531
S2C10434	2701	0.9136065244674683	0.01673087091170028
S2C10525	4016	0.9999978542327881	0.0004720900370118589
S2C10531	3181	0.9597921371459961	0.012387642571191177
S2C10653	2915	0.7819023132324219	0.026682528891910265
S2C10687	2105	2.5090741473832168e-05	0.7372346853991993
S2C10888	2631	0.7908067107200623	0.02609713724601556
S2C11038	19006	1.0	0.0
S2C11202	2246	0.6167944073677063	0.040392023566734644
S2C11397	4163	0.86583012342453	0.02037540599743183
S2C11479	2416	0.9915522336959839	0.007100234156658358
S2C11523	3863	0.9994434118270874	0.0029647254324344737
S2C11560	2266	1.0	0.0
S2C11711	3633	0.9604036211967468	0.012349875368230229
S2C11862	3976	0.9999947547912598	0.0005665080444142307
S2C12210	3176	0.007115722633898258	0.3678714404411209
S2C12409	3648	0.9997901916503906	0.0020394289598912306
S2C12743	2662	0.960905909538269	0.012217690157866909
S2C12950	3212	0.5624881982803345	0.04654807764936929
S2C13087	3049	1.0	0.0
S2C13193	5148	1.0	0.0
S2C13331	2070	0.005098860710859299	0.39143817508875295
S2C13335	4544	1.0	0.0
S2C13350	2304	0.9195666909217834	0.016372082483571266
S2C13396	11073	1.0	0.0
S2C13501	3092	1.0	0.0
S2C13566	6037	1.0	0.0
S2C13753	24443	0.9997193813323975	0.002284915779137397
S2C13882	6283	0.9994698762893677	0.0029458418309539994
S2C13887	3133	0.8708370923995972	0.020092151975224716
S2C14174	2695	0.8133794069290161	0.024171009895007176
S2C14192	10071	0.15852221846580505	0.161265956643251
S2C14385	9563	0.9999983906745911	0.0004343228340509102
S2C14405	4184	0.8489813804626465	0.021565072890701715
S2C14434	2890	0.9133336544036865	0.016749754513180753
